Statistical profiling result from isolate-0x140008000-51285-v8.log, (19383 ticks, 12409 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
    202    1.0%          /Users/chris/.nvm/versions/node/v20.19.1/bin/node

 [JavaScript]:
   ticks  total  nonlib   name
      5    0.0%    0.0%  JS: *parseExprAtom /Users/chris/Developer/Ghost/node_modules/@babel/parser/lib/index.js:11208:16
      5    0.0%    0.0%  JS: *ownerOfFile /Users/chris/Developer/Ghost/node_modules/@embroider/shared-internals/src/package-cache.js:65:16
      5    0.0%    0.0%  JS: *loadFullConfig /Users/chris/Developer/Ghost/node_modules/@babel/core/lib/config/full.js:34:69
      5    0.0%    0.0%  JS: *getManagedItem /Users/chris/Developer/Ghost/node_modules/webpack/lib/FileSystemInfo.js:951:24
      5    0.0%    0.0%  JS: *getCachedValueOrWait /Users/chris/Developer/Ghost/node_modules/@babel/core/lib/config/caching.js:84:31
      5    0.0%    0.0%  JS: *dedupeNode /Users/chris/Developer/Ghost/node_modules/postcss-discard-duplicates/dist/index.js:94:20
      5    0.0%    0.0%  JS: *<anonymous> /Users/chris/Developer/Ghost/node_modules/@babel/core/lib/config/full.js:154:20
      5    0.0%    0.0%  Builtin: SuspendGeneratorBaseline
      5    0.0%    0.0%  Builtin: StringPrototypeIndexOf
      5    0.0%    0.0%  Builtin: StringPrototypeEndsWith
      5    0.0%    0.0%  Builtin: StoreICBaseline
      5    0.0%    0.0%  Builtin: RegExpSplit
      5    0.0%    0.0%  Builtin: LoadICTrampoline
      5    0.0%    0.0%  Builtin: LessThanOrEqual_Baseline
      5    0.0%    0.0%  Builtin: CreateShallowArrayLiteral
      5    0.0%    0.0%  Builtin: ArrayPrototypeValues
      5    0.0%    0.0%  Builtin: ArrayFilter
      4    0.0%    0.0%  RegExp: ^(\/?|)([\s\S]*?)((?:\.{1,2}|[^\/]+?|)(\.[^.\/]*|))(?:[\/]*)$
      4    0.0%    0.0%  RegExp: ^(?:enum|await|implements|interface|let|package|private|protected|public|static|yield|eval|arguments)$
      4    0.0%    0.0%  RegExp: \s
      4    0.0%    0.0%  RegExp: EAI_DISCOVERED_EXTERNALS\(['"]([^'"]+)['"]\)
      4    0.0%    0.0%  RegExp: (\r?\n)
      4    0.0%    0.0%  RegExp: (.*?[\\/]+)
      4    0.0%    0.0%  JS: *streamChunks /Users/chris/Developer/Ghost/node_modules/webpack/node_modules/webpack-sources/lib/RawSource.js:108:14
      4    0.0%    0.0%  JS: *recursePresetDescriptors /Users/chris/Developer/Ghost/node_modules/@babel/core/lib/config/full.js:71:82
      4    0.0%    0.0%  JS: *readEscapedChar /Users/chris/Developer/Ghost/node_modules/@babel/parser/lib/index.js:5437:25
      4    0.0%    0.0%  JS: *preWalkStatements /Users/chris/Developer/Ghost/node_modules/webpack/lib/javascript/JavascriptParser.js:1939:19
      4    0.0%    0.0%  JS: *pp$5.checkUnreserved /Users/chris/Developer/Ghost/node_modules/acorn/dist/acorn.js:3612:34
      4    0.0%    0.0%  JS: *parseMaybeUnary /Users/chris/Developer/Ghost/node_modules/@babel/parser/lib/index.js:10941:18
      4    0.0%    0.0%  JS: *parseCoverCallAndAsyncArrowHead /Users/chris/Developer/Ghost/node_modules/@babel/parser/lib/index.js:11096:34
      4    0.0%    0.0%  JS: *mergeRules /Users/chris/Developer/Ghost/node_modules/postcss-merge-longhand/dist/lib/mergeRules.js:44:20
      4    0.0%    0.0%  JS: *get /Users/chris/Developer/Ghost/ghost/admin/node_modules/postcss/lib/rule.js:60:22
      4    0.0%    0.0%  JS: *finishToken /Users/chris/Developer/Ghost/node_modules/@babel/parser/lib/index.js:5931:14
      4    0.0%    0.0%  JS: *exit /Users/chris/Developer/Ghost/node_modules/@embroider/macros/src/babel/macros-babel-plugin.js:140:17
      4    0.0%    0.0%  JS: *debug /Users/chris/Developer/Ghost/node_modules/@babel/traverse/lib/path/index.js:137:8
      4    0.0%    0.0%  JS: *checkManaged /Users/chris/Developer/Ghost/node_modules/webpack/lib/FileSystemInfo.js:2277:24
      4    0.0%    0.0%  Builtin: StringRepeat
      4    0.0%    0.0%  Builtin: StringPrototypeMatch
      4    0.0%    0.0%  Builtin: StoreIC_NoFeedback
      4    0.0%    0.0%  Builtin: StoreICTrampoline
      4    0.0%    0.0%  Builtin: RegExpReplace
      4    0.0%    0.0%  Builtin: RegExpMatchFast
      4    0.0%    0.0%  Builtin: NumberToString
      4    0.0%    0.0%  Builtin: NewRestArgumentsElements
      4    0.0%    0.0%  Builtin: LoadIC_StringLength
      4    0.0%    0.0%  Builtin: KeyedHasIC
      4    0.0%    0.0%  Builtin: FastNewFunctionContextFunction
      4    0.0%    0.0%  Builtin: FastCreateDataProperty
      4    0.0%    0.0%  Builtin: CreateGeneratorObject
      4    0.0%    0.0%  Builtin: CallVarargs
      4    0.0%    0.0%  Builtin: BitwiseOr_Baseline
      4    0.0%    0.0%  Builtin: ArrayPrototypeSlice
      4    0.0%    0.0%  Builtin: ArrayPrototypeConcat
      3    0.0%    0.0%  RegExp: background(-repeat)?|(-webkit-)?mask-repeat
      3    0.0%    0.0%  RegExp: ^((?:\0.|[^?#\0])*)(\?(?:\0.|[^#\0])*)?(#.*)?$
      3    0.0%    0.0%  RegExp: [ \n\t\r\f(){}:;@!'"\\\][#]|\/(?=\*) {1}
      3    0.0%    0.0%  RegExp: (\r?\n) {1}
      3    0.0%    0.0%  RegExp: ([|!])
      3    0.0%    0.0%  RegExp: (?:\/\*(?:\s*\r?\n(?:\/\/)?)?(?:[#@] sourceMappingURL=([^\s'"]*))\s*\*\/|\/\/(?:[#@] sourceMappingURL=([^\s'"]*)))\s*$ {1}
      3    0.0%    0.0%  RegExp: (!\s*)?postcss-custom-properties:\s*off\b
      3    0.0%    0.0%  JS: ^runGrouping /Users/chris/Developer/Ghost/node_modules/webpack/lib/util/smartGrouping.js:84:22
      3    0.0%    0.0%  JS: ^registerBinding /Users/chris/Developer/Ghost/node_modules/@babel/traverse/lib/scope/index.js:519:18
      3    0.0%    0.0%  JS: ^SourceMapConsumer_parseMappings /Users/chris/Developer/Ghost/node_modules/sourcemap-validator/node_modules/source-map/lib/source-map/source-map-consumer.js:196:45
      3    0.0%    0.0%  JS: *tokenChar /Users/chris/Developer/Ghost/node_modules/@babel/generator/lib/printer.js:196:12
      3    0.0%    0.0%  JS: *skipBlockComment /Users/chris/Developer/Ghost/node_modules/@babel/parser/lib/index.js:5794:19
      3    0.0%    0.0%  JS: *set shouldStop /Users/chris/Developer/Ghost/node_modules/@babel/traverse/lib/path/index.js:64:17
      3    0.0%    0.0%  JS: *run /Users/chris/Developer/Ghost/node_modules/@babel/core/lib/transformation/index.js:21:14
      3    0.0%    0.0%  JS: *result /Users/chris/Developer/Ghost/node_modules/webpack/lib/util/comparators.js:402:17
      3    0.0%    0.0%  JS: *registerBinding /Users/chris/Developer/Ghost/node_modules/@babel/traverse/lib/scope/index.js:519:18
      3    0.0%    0.0%  JS: *pp$9.checkExpressionErrors /Users/chris/Developer/Ghost/node_modules/acorn/dist/acorn.js:796:40
      3    0.0%    0.0%  JS: *pp$8.parseStatement /Users/chris/Developer/Ghost/node_modules/acorn/dist/acorn.js:940:33
      3    0.0%    0.0%  JS: *pp$5.parseProperty /Users/chris/Developer/Ghost/node_modules/acorn/dist/acorn.js:3353:32
      3    0.0%    0.0%  JS: *pp$5.parseExprOps /Users/chris/Developer/Ghost/node_modules/acorn/dist/acorn.js:2739:31
      3    0.0%    0.0%  JS: *parseVarStatement /Users/chris/Developer/Ghost/node_modules/@babel/parser/lib/index.js:13147:20
      3    0.0%    0.0%  JS: *parseSubscript /Users/chris/Developer/Ghost/node_modules/@babel/parser/lib/index.js:11030:17
      3    0.0%    0.0%  JS: *parseStatementContent /Users/chris/Developer/Ghost/node_modules/@babel/parser/lib/index.js:12687:24
      3    0.0%    0.0%  JS: *parsePropertyDefinition /Users/chris/Developer/Ghost/node_modules/@babel/parser/lib/index.js:11795:26
      3    0.0%    0.0%  JS: *parseParenItem /Users/chris/Developer/Ghost/node_modules/@babel/parser/lib/index.js:11660:17
      3    0.0%    0.0%  JS: *parseIdentifier /Users/chris/Developer/Ghost/node_modules/@babel/parser/lib/index.js:12114:18
      3    0.0%    0.0%  JS: *parse /Users/chris/Developer/Ghost/node_modules/minimatch/minimatch.js:296:16
      3    0.0%    0.0%  JS: *nextTick node:internal/process/task_queues:103:18
      3    0.0%    0.0%  JS: *isReferencedIdentifier /Users/chris/Developer/Ghost/node_modules/@babel/traverse/lib/path/lib/virtual-types-validator.js:49:32
      3    0.0%    0.0%  JS: *getMemberExpressionInfo /Users/chris/Developer/Ghost/node_modules/webpack/lib/javascript/JavascriptParser.js:5026:25
      3    0.0%    0.0%  JS: *get /Users/chris/Developer/Ghost/node_modules/@babel/traverse/lib/path/family.js:239:13
      3    0.0%    0.0%  JS: *declareName /Users/chris/Developer/Ghost/node_modules/@babel/parser/lib/index.js:1589:14
      3    0.0%    0.0%  JS: *createSnapshot /Users/chris/Developer/Ghost/node_modules/webpack/lib/FileSystemInfo.js:2182:16
      3    0.0%    0.0%  JS: *callHooksForNameWithFallback /Users/chris/Developer/Ghost/node_modules/webpack/lib/javascript/JavascriptParser.js:4086:30
      3    0.0%    0.0%  JS: *async.call.result.err.err /Users/chris/Developer/Ghost/node_modules/gensync/index.js:219:9
      3    0.0%    0.0%  JS: *add /Users/chris/Developer/Ghost/node_modules/webpack/lib/util/SortableSet.js:53:5
      3    0.0%    0.0%  JS: *_appendChar /Users/chris/Developer/Ghost/node_modules/@babel/generator/lib/buffer.js:138:14
      3    0.0%    0.0%  JS: *_ /Users/chris/Developer/Ghost/node_modules/webpack/lib/stats/DefaultStatsFactoryPlugin.js:1451:6
